아이디,총 단어의 수,매칭된 단어,카테고리 분류 결과,카테고리 최종 결과
aanggoo,2210,"['레이더스', '소통', '침대', '소품', '글램', '스튜어트', '소파', '서재', '키친', '유칼립투스', '진주', '트롤리', '밀착', '그루밍', '서랍', '매트리스', '가죽', '베이스', '가구', '개월', '나노', '운동복', '곳곳', '토실', '식탁', '오크', '자동', '허쉘', '소매', '코디', '젠더리스', '야외', '데코', '마그네슘', '침실', '협탁', '핸드', '라이프스타일', '팬츠', '완벽', '베이직', '메종', '로버트', '감각', '비빔면', '나이키', '우드', '토요일', '코코', '원형', '수납', '활동', '원목', '투어', '찰떡', '티셔츠', '셔츠', '룩북', '곤잘레스', '삼림', '운동화', '리넨', '포스터', '네온', '주얼', '두루치기']","[('인테리어', 27), ('육아', 11), ('뷰티', 10), ('패션', 9), ('헬스', 4), ('펫', 2), ('푸드', 2), ('여행', 1)]",인테리어
noodle_gamblerz,226,"['내일', '축하', '컬처', '무대', '재롱', '이형', '블러', '위원', '대회', '부라', '주최']","[('헬스', 7), ('여행', 1), ('펫', 1), ('뷰티', 1), ('푸드', 1)]",-
ryeo.mi,4181,"['크러쉬', '벨벳', '축하', '디케이', '펄감', '노폐물', '팔레트', '마스카라', '클렌징', '블루샷', '스팅', '릴리', '렌징', '모공', '스트립', '바세린', '쫀쫀', '지속', '메이크업', '레미', '에센스', '형광등', '이지', '히아루론산앰플', '실크', '포지', '시술', '쥬시', '컬링', '즉각', '브릭', '쿨톤', '버건디', '아이라인', '미샤', '립스틱', '퀴드', '프라이머', '블러셔', '유스', '브로', '닉힐보', '뿌빠', '플럼핑', '쉐이딩', '누드', '밀착', '붓펜', '그린티', '저스트', '섀도우', '윤기', '아이라이너', '에뛰드하우스', '쉬머', '전부', '베이스', '피지', '언리미티드', '워터스테', '다크', '코랄', '음영', '에스더', '틴트', '부문', '광택', '애굣살', '번의', '지성', '이니스프리', '락커', '만화', '고정력', '스티커', '점막', '콜라보', '미립', '라이터', '여기저기', '광채', '따뚜아쥬', '문더스트', '클렌징워터', '스팟', '디자이너', '고발', '파란', '명가', '미국', '애교살', '베프펜슬', '블러', '립스', '프루프', '분광', '로에베', '제라늄', '긍정', '브러쉬', '피씨', '파운데이션', '항적', '달라', '어워드', '눈썹', '클레이', '손상', '발색', '이드', '딥클렌징', '피니시', '촤르르', '쏘다샤', '에뛰드', '그라데이션', '햇살', '루나', '롬앤', '눈화장', '리페', '참가자', '카우보이', '테카', '트릭', '세미', '샤인', '코퍼', '찰떡', '밤하늘', '크리에이터', '아르마니', '래쉬펌', '퍼플', '하이라이트', '볼륨', '쿨링감', '파이어', '발린', '릴바레', '히아루론산', '피트', '떡진', '눈빛', '슬리브', '스캔들', '처지', '웜톤', '타투', '성광고', '형도', '입생로랑', '색조', '월요일', '꿀뢰르']","[('뷰티', 127), ('헬스', 8), ('육아', 7), ('여행', 5), ('인테리어', 4), ('푸드', 2), ('펫', 1), ('패션', 1)]",뷰티
mint__jun,1513,"['완전체', '호흡', '쇼룸', '소통', '데님', '고기', '인천', '키치', '발목', '하트', '내일', '호캉스', '축복', '이형', '네이비', '원피스', '가죽', '셋업', '며느리', '발전', '자켓', '창의성', '배색', '스티커', '소매', '코디', '콜라보', '어퍼', '영광', '양반', '떡볶이', '긍정', '테일로', '라이프스타일', '팬츠', '완벽', '달라', '베이직', '가디건', '의류', '투어', '셔츠', '거부', '봄코디', '동기부여', '슬리브', '아메', '불고기', '주얼']","[('패션', 19), ('헬스', 9), ('육아', 7), ('여행', 4), ('인테리어', 4), ('푸드', 3), ('뷰티', 3)]",패션
yodamom_la,2457,"['배움', '축하', '셔링', '다홍', '강도', '몇번', '지남', '취저', '아빠', '메이크업', '단비', '소품', '스트레칭', '전쟁', '신랑', '어보', '키친', '가요', '놀이', '진주', '프리뷰', '따라서', '내일', '임산부', '비행기', '정사', '꼬리', '다이닝', '어깨', '진저', '베이스', '가구', '출산', '막걸리', '개월', '곳곳', '똥꼬', '걸터', '이유식', '예비', '요가', '취소', '소매', '신비', '안감', '콜라보', '송편', '기저귀', '야외', '파이널', '형식', '부인', '언제', '임신', '셋팅', '데코', '육아', '미국', '스커트', '존경', '달라', '체중', '교류', '벽면', '눈썹', '견생', '변형', '숄더', '동영상', '아들', '밑단', '골반', '의류', '좌절', '찰떡', '기장', '트림', '스케쥴', '정신', '운동화', '엑스', '여보', '친정', '월요일']","[('육아', 29), ('헬스', 17), ('패션', 10), ('뷰티', 10), ('인테리어', 10), ('펫', 4), ('여행', 2), ('푸드', 2)]",-
viichae,1336,"['축하', '해바라기', '진달래', '미술', '몇번', '스케치북', '그림책', '소품', '신랑', '기차', '천국', '잉크', '수채화', '춘기', '고양이', '유칼립투스', '화이팅', '내일', '수강생', '어깨', '곳곳', '튤립', '진보', '스티커', '언제', '디자이너', '익선동', '물감', '브러쉬', '빡빡', '햇살', '아들', '성당', '도치', '복귀']","[('육아', 11), ('여행', 7), ('헬스', 6), ('인테리어', 5), ('뷰티', 3), ('푸드', 2), ('펫', 1)]",-
_eng3_,1503,"['욕심', '축하', '몇번', '취저', '태닝', '벽화', '청우', '고기', '레미', '돌잔치', '반려견', '지방', '우동', '화이팅', '내일', '오자', '이형', '피트니스', '일본여행', '어깨', '가죽', '전부', '발전', '자켓', '포징', '운동복', '복근', '가슴', '멘탈', '목표', '신비', '공항', '언제', '무럭무럭', '후쿠오카', '아기', '대회', '놀람', '노비', '블루투스', '나이키', '판콜', '하체', '활동', '척척', '아쉬움', '피티', '발음', '조카', '강아지', '나루']","[('헬스', 22), ('육아', 11), ('여행', 6), ('뷰티', 5), ('펫', 3), ('푸드', 2), ('인테리어', 1), ('패션', 1)]",-
subeee.st,2428,"['축하', '해바라기', '소통', '모발', '인생샷', '용법', '꼬막', '세련', '쫀쫀', '고기', '에센스', '스트레칭', '이지', '돌잔치', '전쟁', '시술', '조개', '조개찜', '제주도', '가요', '밀착', '그루밍', '한지민', '일상생활', '마포역', '어깨', '가구', '군인', '자켓', '막걸리', '당일치기', '야외', '조심', '스팟', '교정', '언제', '익선동', '전병', '통증', '미국', '마그네슘', '떡볶이', '물톤업', '피씨', '존경', '정원', '짬뽕', '밴드', '감각', '눈썹', '손상', '수유', '목살', '토니스타크', '활동', '전면', '투어', '볼륨', '쭈꾸미', '아이디', '로벡틴', '쓰시']","[('뷰티', 18), ('육아', 13), ('푸드', 10), ('헬스', 9), ('여행', 7), ('인테리어', 3), ('펫', 1), ('패션', 1)]",-
kkang__min,3309,"['배움', '욕심', '미디엄', '축하', '마침내', '휘트니', '지크', '모던', '아빠', '인천', '찬스', '피하', '시술', '글램', '유니버스', '코치', '트레인', '여보', '따라서', '화이팅', '매년', '콘텐츠', '뮤지컬', '머슬', '부상', '원님', '피트니스', '베이스', '발전', '레이즈', '기구', '포징', '비포', '조식', '복근', '번의', '트레이닝', '목표', '출전', '릴레이', '매표소', '틴유', '향상', '파이널', '디자이너', '레슨', '성적', '셋팅', '단디', '영광', '위원', '긍정', '선수', '목재', '주니어', '메종', '대회', '감각', '노비', '타워', '주최', '펄스', '하체', '하반기', '데스크', '과학', '참가자', '계약', '무대', '이두', '골반', '비키니', '활동', '의류', '최선', '범위', '티셔츠', '정신', '상무지구', '덤벨', '교육', '세로', '특별상', '포스터', '산소', '월요일', '트레이너']","[('헬스', 51), ('육아', 12), ('인테리어', 10), ('뷰티', 7), ('여행', 5), ('패션', 2)]",헬스
seihee_95,739,"['화이팅', '크러쉬', '축하', '무대', '염통', '비키니', '윤기', '다이닝', '세미', '활동', '엉엉', '물놀이', '태닝', '메이크업', '포메라니안', '쿨링감', '창작', '대패', '샤시', '군사', '세로', '베베', '네온', '퇴치', '진주', '학교']","[('뷰티', 7), ('육아', 7), ('헬스', 5), ('푸드', 2), ('인테리어', 2), ('여행', 1), ('펫', 1), ('패션', 1)]",-
imall1028,5362,"['하라', '잇츠', '몇번', '지속', '소품', '피하', '전쟁', '몰래', '섬유', '지방', '퇴후', '수족관', '퇴치', '여보', '밀착', '부상', '일상생활', '일본여행', '카트리지', '곳곳', '유아', '여기저기', '야외', '독박', '영양소', '신생아', '등교', '먹이', '카페인', '상혼', '콤부', '수납', '학교생활', '키스', '유연제', '증가', '거부', '달걀', '환수', '서든', '노폐물', '운동신경', '릴리', '모공', '물놀이', '아빠', '신랑', '국민', '성장기', '내일', '개구쟁이', '상피', '피지', '꼬맹이', '출산', '개월', '아스타', '가슴', '키크', '만화', '스티커', '형식', '언제', '선수', '줌마', '배관', '불검', '워킹맘', '비빔면', '손상', '우드', '릴랙', '데스크', '시나', '공부', '독서', '초장', '킨돌', '활동', '분양', '썬크림', '여름방학', '초등학생', '장마철', '아토', '월요일', '주부', '큐앤', '슬림', '재기', '아토피', '립스틱', '잡티', '필수품', '애교', '불맛', '어깨', '몰카', '크리에이티브', '베이비', '이유식', '어른', '지름길', '쟁겨야지', '임신', '육아', '살닭', '이완', '아기', '키즈', '아들', '학교', '공복', '정신', '덕진구', '어린이', '체육', '소통', '모발', '대고', '육아용품', '고기', '에센스', '부모', '돌잔치', '질발', '기차', '하트', '가요', '룰룰', '쫄면', '학년', '나노', '에이스', '방학', '스팟', '면역', '퉁퉁', '데코', '떡볶이', '메이트', '대동', '이드', '도치', '근육', '아미노산', '산소']","[('육아', 72), ('뷰티', 30), ('헬스', 20), ('푸드', 9), ('인테리어', 7), ('여행', 5), ('펫', 3), ('패션', 1)]",육아
animal_kara,14320,"['하라', '축하', '처벌', '침대', '무늬', '지속', '반려견', '초복', '막대', '고양이', '제주도', '수족관', '매년', '상세', '꼬리', '정비', '곳곳', '식탁', '취소', '릴레이', '여기저기', '향상', '지해', '호전', '향후', '무럭무럭', '댕댕', '청와대', '먹이', '동영상', '토요일', '수유', '금속', '도중', '빼꼼', '극적', '최선', '급여', '실어', '증가', '하이라이트', '거부', '척추', '달걀', '오줌', '남성호르몬', '정은', '강아지', '인내', '언어', '인천', '코숏', '리트리버', '동물보호', '국민', '놀이', '따라서', '실존', '내일', '수강생', '냐옹', '전부', '가구', '출산', '계층', '개월', '수의사', '가슴', '법적', '일부러', '회의', '육박', '도서', '언제', '고발', '관심사', '인용', '동물병원', '조이', '재활', '광장', '정원', '신체', '절벽', '유기견', '캐릭터', '햇살', '수달', '참가자', '고소', '옥션', '활동', '티셔츠', '왼쪽', '파기', '불법', '커녕', '강행', '편의', '개린', '흥미', '월요일', '배움', '마침내', '우리은행', '누리', '위험천만', '접종', '갈고리', '실태', '카메라', '콘텐츠', '패러다임', '애교', '문학', '자궁', '공항', '이빨', '교정', '임신', '육아', '입양', '핸드', '반려', '아기', '체중', '둘째', '주최', '견생', '사랑둥이', '스레', '아들', '학교', '강요', '유죄', '인적', '눈빛', '포스터', '어린이', '호흡', '소통', '편입', '대고', '탈구', '고기', '그림책', '지점', '프레임', '즉각', '사료', '슬픔', '습관', '호흡기', '방치', '그루밍', '취지', '더봄', '반려동물', '대기', '예비', '설정', '목표', '면역', '퉁퉁', '방한', '안과', '미국', '참고자료', '긍정', '소독', '삼계탕', '달라', '입금자', '하반기', '과학', '골반', '하나은행', '전면', '잘못', '굶주림', '신일', '절박', '애견', '교육', '교구', '강사', '무지개']","[('육아', 51), ('헬스', 37), ('펫', 35), ('뷰티', 22), ('인테리어', 16), ('여행', 16), ('푸드', 8), ('패션', 2)]",육아
babicream3,6382,"['축하', '길거리', '소품', '교재', '원서', '설탕', '퀴드', '퇴치', '화이팅', '녹용', '매년', '할미', '시킴', '지능', '발전', '아동복', '향료', '곳곳', '똥꼬', '유아', '공룡', '취소', '돌때', '코디', '광채', '향상', '야외', '과천', '최악', '웅진', '신생아', '유교', '프릴', '손닦기', '또래', '먹이', '템빨', '발달', '토요일', '전집', '독후', '야경', '거부', '운동화', '타투', '베베', '첨가', '언어', '노폐물', '한글', '복도', '물놀이', '아빠', '바가지', '유한양행', '어보', '천국', '놀이터', '놀이', '유칼립투스', '유스', '내일', '개구쟁이', '원피스', '전부', '출산', '개월', '일몰', '아스타', '일부러', '스티커', '도서', '하복', '기저귀', '형식', '언제', '물감', '아동', '러시아', '줌마', '학습', '주니어', '젤귀', '워킹맘', '손상', '우드', '캐릭터', '상하', '전라도', '공부', '독서', '가스톤루', '활동', '썬크림', '여름방학', '애슐리', '창작', '편의', '흥미', '아토', '월요일', '다이노', '그네', '주부', '글공부', '누리', '북극', '슬림', '글자', '재기', '잡티', '장비', '필수품', '카메라', '콘텐츠', '어깨', '상상력', '베이비', '창의성', '등원', '당일치기', '한솔', '동화책', '콜라보', '어른', '책방', '육아', '네모', '띠맘', '아기', '조명', '단어', '어린이날', '키즈', '아들', '못난이', '전기요금', '엘사', '창의', '조카', '애착', '북도', '홈스쿨링', '스웨덴', '영어', '어린이', '소통', '모발', '미술', '메이크업', '고기', '그림책', '에센스', '발목', '기차', '불빛', '습관', '튜브', '코딩', '윤기', '색칠', '돼지고기', '살딸', '수학', '얼집', '대추나무', '구내염', '번의', '퍼즐', '양념', '스팟', '면역', '퉁퉁', '어린이집', '홍키', '달라', '밴드', '서포터즈', '놀람', '감각', '이드', '매혹', '창의력', '하원', '과학', '무독', '통키', '도치', '유아교육', '하필', '피트', '홍조', '교육', '교구', '지대', '딸맘', '어휘']","[('육아', 131), ('뷰티', 23), ('헬스', 13), ('여행', 12), ('인테리어', 8), ('푸드', 5), ('패션', 3), ('펫', 2)]",육아
iareum53,5817,"['여의도', '소품', '섬유', '와우산', '지방', '키친', '제주도', '고양이', '볶음', '퇴치', '성게', '자재', '감량', '공룡', '야외', '셋팅', '밥집', '유교', '만리재', '생리통', '달걀', '강아지', '동서로', '염증', '스끼', '물놀이', '아빠', '인천', '신랑', '연수구', '아리아', '천국', '놀이', '진주', '섬나라', '내일', '냐옹', '임산부', '일부러', '테크노', '인용', '큐템', '광장', '줌마', '초벌', '짬뽕', '대회', '생크림', '햇살', '텁텁해', '전라도', '활동', '쭈꾸미', '초등학생', '계란말이', '주부', '렌징', '소세지', '필수품', '데리', '어깨', '베이비', '쫄깃쫄깃', '진보', '공항', '강동구청', '핸드', '아기', '체중', '키즈', '아들', '껍데기', '계약', '밀봉', '소통', '고기', '에센스', '찬스', '돌잔치', '임상실험', '유목민', '가요', '마포역', '신선', '집사', '똥집', '돼지고기', '반려동물', '대기', '목표', '에이스', '방학', '강릉', '조미료', '세차장', '양념', '면역', '모델링', '용냉', '영통구', '광명', '달라', '핑쿠', '밴드', '감각', '타워', '공감', '용강동', '투어', '딸바보', '근육', '레일바이크', '강릉대', '신형', '애견', '베트남', '지대', '영등포역']","[('육아', 34), ('뷰티', 20), ('푸드', 19), ('여행', 16), ('인테리어', 11), ('헬스', 11), ('펫', 7)]",육아
min_ttu7,1849,"['에프', '완전체', '축하', '칠갑산', '백숙', '장충', '지속', '발목', '관계자', '국민', '코치', '지방', '튜브', '도대체', '유칼립투스', '화이팅', '내일', '바위', '비행기', '이형', '어깨', '전신', '발전', '운동복', '똥꼬', '복근', '가슴', '상록', '추리', '목표', '출전', '콜라보', '어른', '랭킹', '마디', '야외', '성적', '통증', '미국', '영광', '갠소', '마그네슘', '조이', '선수', '재활', '광장', '주니어', '신체', '비행', '대회', '조명', '혈행', '두산', '나이키', '개막', '변형', '토요일', '전라도', '계약', '독서', '무대', '헬린', '샤인', '투어', '근육', '나때매', '하객', '하필', '하이라이트', '초등학교', '반델', '아미노산', '산산조각', '월요일']","[('헬스', 30), ('뷰티', 12), ('육아', 12), ('여행', 11), ('인테리어', 4), ('푸드', 2), ('패션', 2), ('펫', 1)]",헬스
piamodel,1186,"['소통', '아빠', '메이크업', '쿨톤', '습관', '튜브', '내일', '누드', '으루', '운동복', '헬스장', '곳곳', '토실', '가슴', '알파', '몇장', '조명', '우드', '설연휴', '비키니', '스냅', '정신']","[('헬스', 6), ('뷰티', 5), ('인테리어', 4), ('육아', 3), ('여행', 2), ('펫', 1), ('푸드', 1)]",-
bbgt.luv,5785,"['축하', '상어', '유치원', '클렌징', '잇츠', '취저', '지속', '전쟁', '섬유', '반려견', '지방', '조개', '고양이', '국밥', '테오', '남포동', '밀착', '키커지', '꼬리', '부상', '셋업', '향료', '유아', '여기저기', '수도권', '향상', '영양소', '치와와', '립발색', '신생아', '로에베', '댕댕', '또래', '제타', '한류월드', '먹이', '토마토', '템빨', '카페인', '트릿', '유연제', '분유', '찰떡', '급여', '초등', '이징', '웜톤', '베베', '강아지', '스피룰리나', '첨가', '노폐물', '팔레트', '용법', '물놀이', '아빠', '실크', '신랑', '놀이터', '국민', '게다가', '뮤지컬', '섀도우', '베이스', '피지', '온누리', '출산', '코랄', '아스타', '틴트', '섀도', '가슴', '키크', '지성', '스티커', '도서', '하복', '기저귀', '바실리카', '분광', '식사량', '학습', '워킹맘', '치의학', '해상도', '손상', '생크림', '데스크', '캐릭터', '코코', '공부', '독서', '도포', '활동', '썬크림', '자외선차단제', '여름방학', '개린', '초등학생', '래미', '벨벳', '주부', '강도', '렌징', '팔꿈치', '재기', '아토피', '초등교육', '장비', '자녀교육', '베이비', '스페인어', '분기', '어른', '이빨', '성적', '임신', '육아', '파란', '감촉', '핸드', '반려', '이완', '쿨감', '아기', '미끄럼틀', '블루투스', '요구르트', '시뮬레이션', '파김치', '키즈', '아들', '하디', '껍데기', '장모', '초등학교', '내의', '어린이', '소통', '모발', '쫀쫀', '메이크업', '고기', '에센스', '사료', '쿨톤', '코딩', '가요', '난리', '블러셔', '아이라이너', '집사', '반려동물', '구내염', '내면', '방학', '양념', '면역', '미국', '블러', '어린이집', '떡볶이', '메이트', '물톤업', '북스', '달라', '코덕', '밴드', '이드', '발색', '딥클렌징', '자갈치', '프리바이오틱', '공감', '내복', '도치', '공포영화', '유아교육', '근육', '애견', '교육', '산소', '덕인']","[('육아', 83), ('뷰티', 50), ('펫', 16), ('헬스', 14), ('푸드', 12), ('인테리어', 4), ('여행', 3), ('패션', 1)]",육아
young_kyun_,330,"['조심', '내일', '아련', '활동', '군인', '신곡', '존예', '룩북', '자칭', '기릿', '슬슬', '눈빛', '복귀']","[('헬스', 5), ('펫', 3), ('뷰티', 2), ('육아', 1), ('패션', 1), ('여행', 1)]",-
jmanjrny,7304,"['하라', '축하', '알짝', '피하', '밴딩', '지방', '턱선', '고양이', '정비', '꼬리', '감량', '발전', '자켓', '비포', '자존감', '짐볼', '주머니', '스쿼트', '눈사람', '산삼', '토마토', '다짐', '토요일', '최선', '덤벨', '터닝', '욕심', '년도', '내일', '원피스', '꼬맹이', '개월', '운동복', '상체', '가슴', '오늘이', '회의', '언제', '영광', '선수', '재활', '주니어', '대회', '공부', '좌절', '티셔츠', '형도', '에프', '배움', '크러쉬', '만두', '염분', '머슬', '이형', '피트니스', '원님', '어깨', '포징', '부문', '트레이닝', '형호', '상복', '출전', '어른', '경향', '유청', '체중', '팬티', '파트너', '블루투스', '단어', '하체', '어린이날', '아들', '학교', '무대', '스냅', '정신', '슬슬', '눈빛', '부리고', '착감', '소통', '스승', '근무', '대고', '고기', '발목', '마음가짐', '습관', '동작', '헬스장', '복근', '번의', '내면', '멘탈', '목표', '레슨', '위아래', '단디', '삼계탕', '팬츠', '존경', '밴드', '노비', '중량', '쇠질', '마음속', '공감', '또또', '얼리어답터', '일인', '잘못', '근육', '피티', '교육', '대형견', '산소', '트레이너']","[('헬스', 69), ('육아', 20), ('뷰티', 9), ('패션', 6), ('푸드', 6), ('펫', 4), ('여행', 3), ('인테리어', 2)]",헬스
dajung0906,1479,"['체육', '우리은행', '여의도', '물놀이', '장충', '고기', '돌잔치', '제주도', '가요', '장비', '화이팅', '꼬부기', '내일', '비행기', '온유', '피트니스', '가죽', '원전', '학년', '꼬우', '꾸르잼', '대기', '멘탈', '회의', '달치', '공항', '조심', '언제', '디자이너', '체인지', '핸드', '광명', '정원', '달라', '두산', '빡빡', '다짐', '비키니', '투어', '스케쥴', '속초', '교육', '장마철', '리틀', '말끝']","[('헬스', 12), ('육아', 12), ('여행', 10), ('인테리어', 5), ('뷰티', 4), ('푸드', 1), ('패션', 1)]",-
othooooo_weather,3246,"['축하', '여의도', '소품', '화이팅', '매년', '식탁', '릴레이', '전병', '라이프스타일', '다짐', '여행사진', '방송국', '청첩장', '진미', '성당', '하이라이트', '터닝', '강아지', '릴리', '아빠', '천국', '국민', '도대체', '내일', '이도', '가구', '신비', '언제', '영광', '아랑', '선수', '유기견', '햇살', '활동', '왼쪽', '무풍', '퍼트', '월요일', '배움', '벨벳', '완전체', '누리', '이지', '만두', '업뎃', '카메라', '축복', '분리수거', '분기', '미디어', '파란', '입양', '우리엄마', '아기', '메종', '분한', '어린이날', '제자', '학교', '벽지', '일일이', '스냅', '슬슬', '눈빛', '엑스', '복귀', '멕시칸', '영어', '체육', '소통', '팔로', '미술', '아크', '근무', '메이크업', '고기', '프레임', '소파', '튜브', '가요', '도래', '취지', '며느리', '멘탈', '양념', '등대', '미사', '블러', '진열', '권혁수', '코덕', '감각', '포스트', '주저', '잘못', '할배']","[('헬스', 24), ('육아', 22), ('인테리어', 14), ('여행', 12), ('펫', 8), ('뷰티', 8), ('푸드', 7), ('패션', 1)]",-
ksound1024,5291,"['축하', '몇번', '지속', '흐릿흐릿', '아이라인', '제주도', '퀴드', '화이팅', '밀착', '콧구멍', '향료', '마릴린먼로', '취소', '릴레이', '라이터', '광채', '야외', '파운데이션', '동유럽', '완벽', '입력기', '눈사람', '동영상', '아리따움', '카페인', '진미', '키스', '분유', '찰떡', '센텔', '달걀', '이징', '스패츌러', '기네', '노폐물', '팔레트', '모공', '물놀이', '스카프', '생일케이크', '존예', '블라우스', '천국', '국민', '계곡', '따라서', '브로', '내일', '리빙', '비행기', '섀도우', '크리미', '원피스', '전부', '베이스', '가구', '피지', '코랄', '가슴', '언제', '디자이너', '코디얼', '웰라쥬', '프루프', '분광', '손상', '피니시', '생크림', '햇살', '리페', '공부', '가디건', '정품', '중정', '썬크림', '자외선차단제', '아란', '머릿카락', '장마철', '아토', '월요일', '벨벳', '정관', '소나기', '업뎃', '미샤', '립스틱', '잡티', '필수품', '송리', '전신', '베이비', '바나나', '음영', '꾸르잼', '요가', '분기', '어른', '쫀쫀하', '조심', '어딕션', '컨실러', '브러쉬', '핸드', '아기', '조명', '설연휴', '이돌', '어린이날', '비키니', '샤인', '드컷', '나용', '기장', '볼륨', '정신', '조카', '어린이', '마드', '스팅', '쫀쫀', '메이크업', '에센스', '땅콩', '하트', '튜브', '유목민', '가요', '블러셔', '호캉스', '그린티', '컬펌', '윤기', '아이라이너', '강릉', '르뗑', '떡볶이', '존경', '달라', '코덕', '밴드', '타워', '이드', '발색', '포스트', '결점', '과학', '테카', '의류', '투어', '근육', '퍼플', '무지개']","[('뷰티', 69), ('육아', 30), ('헬스', 15), ('여행', 13), ('푸드', 9), ('패션', 8), ('인테리어', 8), ('펫', 1)]",뷰티
uuuu_k,1553,"['벨벳', '캡숑', '팔레트', '릴리', '물놀이', '크롭티', '메이크업', '고기', '인천', '보라보라', '지방', '워핏', '중문', '제주도', '프라이머', '블러셔', '유스', '내일', '바닐라코', '밀착', '조거', '베이스', '크리에이티브', '틴트', '공룡', '최고봉', '만화', '콜라보', '매표소', '언제', '선수촌', '디자이너', '블러', '떡볶이', '핸드', '스커트', '피씨', '꼬기', '팬츠', '완벽', '조명', '발색', '나이키', '라이어', '생크림', '폴스부띠끄', '아리따움', '코코', '껍데기', '가디건', '촘촘', '티셔츠', '퍼플', '셔츠', '거부', '홍조', '운동화', '랄라블라']","[('뷰티', 29), ('패션', 8), ('육아', 7), ('푸드', 5), ('인테리어', 4), ('헬스', 3), ('여행', 2)]",패션
zzoon.e,1578,"['플라자', '축하', '프루티', '스팅', '장충', '롯시', '에센스', '형광등', '시네마', '섬유', '민떼', '화이팅', '콘텐츠', '꼬리', '크리미', '자켓', '카시트', '운동복', '대기', '번의', '트레이닝', '출전', '여기저기', '티크', '바이올렛', '데코', '육아', '선수', '파운데이션', '완벽', '대회', '블록', '타워', '나이키', '생크림', '스윙스', '햇살', '토요일', '공부', '두뇌', '옥션', '키스', '투어', '티셔츠', '아르마니', '셔츠', '싱글', '신형', '운동화', '성광고', '로럴', '네온', '브브', '월요일']","[('뷰티', 16), ('헬스', 12), ('육아', 12), ('여행', 4), ('패션', 4), ('인테리어', 4), ('펫', 1), ('푸드', 1)]",-
jay_agnes81,5685,"['축하', '썬데이', '숙소', '오페', '유치원', '클렌징', '여의도', '침대', '지속', '섬유', '남양', '지방', '통뼈', '턱선', '제주도', '볶음', '체어', '도어', '만끽', '밀착', '완구', '정사', '남오', '지능', '유아', '서현', '식탁', '준비영', '야외', '주머니', '웨딩링', '밥집', '이상민', '등교', '왕실', '땡땡', '먹이', '동영상', '토요일', '전집', '유연제', '분유', '찰떡', '야경', '초등', '김남주', '발음', '서든', '강아지', '주얼', '욕심', '첨가', '레이더스', '물놀이', '모던', '세련', '아빠', '진주', '꽃말', '따라서', '내일', '리빙', '임산부', '증강현실', '가죽', '베이스', '가구', '출산', '건성', '아스타', '키크', '회의', '스티커', '도서', '언제', '초벌', '비행', '캐릭터', '활동', '여름방학', '캐럿', '보더', '무풍', '아토', '벽면', '주부', '렌징', '소세지', '이지', '시공', '아토피', '장비', '필수품', '오자', '뼈찜', '베이비', '자일리톨', '알파', '드럼세탁기', '출판', '임신', '육아', '아기', '어린이날', '키즈', '아들', '목살', '벽지', '갈비탕', '샤인', '세라믹', '스냅', '봄루이젠', '오피스텔', '정신', '조카', '애착', '북도', '스웨덴', '영어', '어린이', '체육', '소통', '팔로', '메이크업', '고기', '에센스', '지점', '프레임', '소파', '즉각', '습관', '신선', '돼지고기', '나노', '구내염', '설정', '스탠드', '데코', '미국', '미사', '어린이집', '쇼파', '소독', '홍키', '달라', '코덕', '밴드', '서포터즈', '쓴맛', '타워', '공감', '통키', '원목', '척척', '근육', '교육', '친정', '불고기', '편식']","[('육아', 84), ('인테리어', 22), ('뷰티', 21), ('푸드', 11), ('여행', 10), ('헬스', 9), ('패션', 2), ('펫', 1)]",-
earth__us,1950,"['복도', '아빠', '습관', '시행착오', '게으름', '화이팅', '내일', '바나나', '개월', '번의', '이니스프리', '분리수거', '콜라보', '조심', '언제', '안과', '미국', '배낭여행', '무럭무럭', '달라', '이드', '토마토', '일일이', '활동', '떡진', '빨대', '세로', '월요일']","[('육아', 9), ('헬스', 7), ('인테리어', 4), ('뷰티', 3), ('펫', 2), ('푸드', 2), ('여행', 1)]",-
souwor,2332,"['욕심', '줄줄', '축하', '몇번', '태닝', '침대', '피하', '지방', '제주도', '놀이', '장비', '필수품', '카메라', '화이팅', '여행사', '오르가즘', '개월', '티샷', '가슴', '번의', '지성', '콜라보', '부인', '언제', '면역', '여행기', '요트', '비행', '빡빡', '햇살', '동영상', '아인', '공부', '비키니', '투어', '귀신', '공포영화', '야경', '환수', '엘사', '세분', '몸짱', '복귀', '월요일']","[('육아', 14), ('헬스', 13), ('여행', 9), ('뷰티', 5), ('인테리어', 2), ('푸드', 1)]",-
